Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill,Title,Professor,Professor Google Scholar Citations,Description
Sampling algorithms,Students will learn about sampling algorithms used for approximate learning and inference in probabilistic models.,"6.4120[J] Computational Cognitive Science
",1,Fall 2023,Sampling algorithms,"6.4120[J] Computational Cognitive Science
", ,0,"()
(Same subject as 9.66[J])(Subject meets with 9.660)
Prereq: 6.3700, 6.3800, 9.40, 18.05, 6.3900, or permission of instructor
Units: 3-0-9
Lecture: TR1-2.30 (46-3002)

Introduction to computational theories of human cognition. Focus on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks covered include Bayesian and hierarchical Bayesian models; probabilistic graphical models; nonparametric statistical models and the Bayesian Occam's razor; sampling algorithms for approximate learning and inference; and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project.
J. TenenbaumNo textbook information available"
Nonparametric statistical models,"Students will develop skills in working with nonparametric statistical models, which allow for flexible and adaptive modeling of data.","6.4120[J] Computational Cognitive Science
",1,Fall 2023,Nonparametric statistical models,"6.4120[J] Computational Cognitive Science
", ,0,"()
(Same subject as 9.66[J])(Subject meets with 9.660)
Prereq: 6.3700, 6.3800, 9.40, 18.05, 6.3900, or permission of instructor
Units: 3-0-9
Lecture: TR1-2.30 (46-3002)

Introduction to computational theories of human cognition. Focus on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks covered include Bayesian and hierarchical Bayesian models; probabilistic graphical models; nonparametric statistical models and the Bayesian Occam's razor; sampling algorithms for approximate learning and inference; and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project.
J. TenenbaumNo textbook information available"
First-order logic,Students will learn about first-order logic and its use in representing structured knowledge.,"6.4120[J] Computational Cognitive Science
",1,Fall 2023,First-order logic,"6.4120[J] Computational Cognitive Science
", ,0,"()
(Same subject as 9.66[J])(Subject meets with 9.660)
Prereq: 6.3700, 6.3800, 9.40, 18.05, 6.3900, or permission of instructor
Units: 3-0-9
Lecture: TR1-2.30 (46-3002)

Introduction to computational theories of human cognition. Focus on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks covered include Bayesian and hierarchical Bayesian models; probabilistic graphical models; nonparametric statistical models and the Bayesian Occam's razor; sampling algorithms for approximate learning and inference; and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project.
J. TenenbaumNo textbook information available"
Programming,Students will develop programming skills as they work on computational projects and implement the concepts learned in the course.,"6.4120[J] Computational Cognitive Science
",1,Fall 2023,Programming and Coding,"6.4120[J] Computational Cognitive Science
", ,0,"()
(Same subject as 9.66[J])(Subject meets with 9.660)
Prereq: 6.3700, 6.3800, 9.40, 18.05, 6.3900, or permission of instructor
Units: 3-0-9
Lecture: TR1-2.30 (46-3002)

Introduction to computational theories of human cognition. Focus on principles of inductive learning and inference, and the representation of knowledge. Computational frameworks covered include Bayesian and hierarchical Bayesian models; probabilistic graphical models; nonparametric statistical models and the Bayesian Occam's razor; sampling algorithms for approximate learning and inference; and probabilistic models defined over structured representations such as first-order logic, grammars, or relational schemas. Applications to understanding core aspects of cognition, such as concept learning and categorization, causal reasoning, theory formation, language acquisition, and social inference. Graduate students complete a final project.
J. TenenbaumNo textbook information available"
Programming,"Students will gain proficiency in programming, specifically in the areas of logical, temporal, and finite domain constraints, graphical models, linear and integer programs, search, inference, and conflict-learning.","6.4130[J] Principles of Autonomy and Decision Making
",1,Fall 2023,Programming and Coding,"6.4130[J] Principles of Autonomy and Decision Making
", ,0,"()
(Same subject as 16.410[J])(Subject meets with 6.4132[J], 16.413[J])
Prereq: 6.100B or 6.9080
Units: 4-0-8
Lecture: MW9.30-11 (32-141) Recitation: F10 (33-319) or F3 (33-319) +final

Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments.
B.C. WilliamsNo textbook information available"
SQL,Students will learn and apply SQL (Structured Query Language) for database manipulation and querying.,"6.4130[J] Principles of Autonomy and Decision Making
",1,Fall 2023,SQL,"6.4130[J] Principles of Autonomy and Decision Making
", ,0,"()
(Same subject as 16.410[J])(Subject meets with 6.4132[J], 16.413[J])
Prereq: 6.100B or 6.9080
Units: 4-0-8
Lecture: MW9.30-11 (32-141) Recitation: F10 (33-319) or F3 (33-319) +final

Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments.
B.C. WilliamsNo textbook information available"
XML,Students will learn about XML (eXtensible Markup Language) and its use in databases and decision-making processes.,"6.4130[J] Principles of Autonomy and Decision Making
",1,Fall 2023,XML,"6.4130[J] Principles of Autonomy and Decision Making
", ,0,"()
(Same subject as 16.410[J])(Subject meets with 6.4132[J], 16.413[J])
Prereq: 6.100B or 6.9080
Units: 4-0-8
Lecture: MW9.30-11 (32-141) Recitation: F10 (33-319) or F3 (33-319) +final

Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments.
B.C. WilliamsNo textbook information available"
Programming,"Students will gain proficiency in programming, specifically in the areas of logical, temporal, and finite domain constraints, graphical models, linear and integer programs, search, inference, and conflict-learning.","6.4132[J] Principles of Autonomy and Decision Making
",1,Fall 2023,Programming and Coding,"6.4132[J] Principles of Autonomy and Decision Making
", ,0,"()
(Same subject as 16.413[J])(Subject meets with 6.4130[J], 16.410[J])
Prereq: 6.100B, 6.9080, or permission of instructor
Units: 3-0-9
Lecture: MW9.30-11 (32-141) +final

Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments.
B.C. WilliamsNo textbook information available"
SQL,Students will learn and apply SQL (Structured Query Language) for database manipulation and querying.,"6.4132[J] Principles of Autonomy and Decision Making
",1,Fall 2023,SQL,"6.4132[J] Principles of Autonomy and Decision Making
", ,0,"()
(Same subject as 16.413[J])(Subject meets with 6.4130[J], 16.410[J])
Prereq: 6.100B, 6.9080, or permission of instructor
Units: 3-0-9
Lecture: MW9.30-11 (32-141) +final

Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments.
B.C. WilliamsNo textbook information available"
Algorithm design,Students will learn how to design algorithms for creating intelligent and robust human-robot systems.,"6.8110[J] Cognitive Robotics
",1,Fall 2023,Algorithm Design and Analysis,"6.8110[J] Cognitive Robotics
", ,0,"()
(Same subject as 16.412[J])
Prereq: (6.4100 or 16.413) and (6.1200, 6.3700, or 16.09)
Units: 3-0-9

Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.
B. C. Williams

Robotics"
Programming,Students will develop programming skills to implement algorithms and paradigms for cognitive robotics.,"6.8110[J] Cognitive Robotics
",1,Fall 2023,Programming and Coding,"6.8110[J] Cognitive Robotics
", ,0,"()
(Same subject as 16.412[J])
Prereq: (6.4100 or 16.413) and (6.1200, 6.3700, or 16.09)
Units: 3-0-9

Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.
B. C. Williams

Robotics"
Decision-making,"Students will gain the skill of making decisions based on models of themselves, their counterparts, and their world.","6.8110[J] Cognitive Robotics
",1,Fall 2023,Ethical decision-making,"6.8110[J] Cognitive Robotics
", ,0,"()
(Same subject as 16.412[J])
Prereq: (6.4100 or 16.413) and (6.1200, 6.3700, or 16.09)
Units: 3-0-9

Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.
B. C. Williams

Robotics"
Planning,Students will learn how to plan activities and paths for robots in various scenarios.,"6.8110[J] Cognitive Robotics
",1,Fall 2023,Planning,"6.8110[J] Cognitive Robotics
", ,0,"()
(Same subject as 16.412[J])
Prereq: (6.4100 or 16.413) and (6.1200, 6.3700, or 16.09)
Units: 3-0-9

Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.
B. C. Williams

Robotics"
Collaboration,Students will develop the skill of collaborating with humans in the context of human-robot systems.,"6.8110[J] Cognitive Robotics
",1,Fall 2023,Collaboration and Teamwork,"6.8110[J] Cognitive Robotics
", ,0,"()
(Same subject as 16.412[J])
Prereq: (6.4100 or 16.413) and (6.1200, 6.3700, or 16.09)
Units: 3-0-9

Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.
B. C. Williams

Robotics"
Algorithm design,Students will learn how to design algorithms for robots and autonomous vehicles to operate in the physical world.,"6.4200[J] Robotics: Science and Systems
",1,Fall 2023,Algorithm Design and Analysis,"6.4200[J] Robotics: Science and Systems
", ,0,"() 
(Same subject as 2.124[J], 16.405[J])
Prereq: ((1.00 or 6.100A) and (2.003, 6.1010, 6.1210, or 16.06)) or permission of instructor
Units: 2-6-4

Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited.
Staff"
Motion planning,Students will develop the skill of planning the motion of robots and autonomous vehicles in order to navigate autonomously.,"6.4200[J] Robotics: Science and Systems
",1,Fall 2023,Motion planning,"6.4200[J] Robotics: Science and Systems
", ,0,"() 
(Same subject as 2.124[J], 16.405[J])
Prereq: ((1.00 or 6.100A) and (2.003, 6.1010, 6.1210, or 16.06)) or permission of instructor
Units: 2-6-4

Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited.
Staff"
Embedded system development,Students will gain proficiency in developing embedded systems for controlling robots and autonomous vehicles.,"6.4200[J] Robotics: Science and Systems
",1,Fall 2023,Embedded System Design and Development,"6.4200[J] Robotics: Science and Systems
", ,0,"() 
(Same subject as 2.124[J], 16.405[J])
Prereq: ((1.00 or 6.100A) and (2.003, 6.1010, 6.1210, or 16.06)) or permission of instructor
Units: 2-6-4

Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited.
Staff"
Computer vision,Students will learn how to use computer vision techniques to perceive and understand the physical world.,"6.4200[J] Robotics: Science and Systems
",1,Fall 2023,Computer vision,"6.4200[J] Robotics: Science and Systems
", ,0,"() 
(Same subject as 2.124[J], 16.405[J])
Prereq: ((1.00 or 6.100A) and (2.003, 6.1010, 6.1210, or 16.06)) or permission of instructor
Units: 2-6-4

Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited.
Staff"
Programming,Students will develop programming skills to implement advanced algorithms on complex robotic platforms.,"6.4200[J] Robotics: Science and Systems
",1,Fall 2023,Programming and Coding,"6.4200[J] Robotics: Science and Systems
", ,0,"() 
(Same subject as 2.124[J], 16.405[J])
Prereq: ((1.00 or 6.100A) and (2.003, 6.1010, 6.1210, or 16.06)) or permission of instructor
Units: 2-6-4

Presents concepts, principles, and algorithmic foundations for robots and autonomous vehicles operating in the physical world. Topics include sensing, kinematics and dynamics, state estimation, computer vision, perception, learning, control, motion planning, and embedded system development. Students design and implement advanced algorithms on complex robotic platforms capable of agile autonomous navigation and real-time interaction with the physical word. Students engage in extensive written and oral communication exercises. Enrollment limited.
Staff"
Perception,"Students will learn about different approaches to perception in robotics, including deep learning and 3D geometry-based methods. This skill is selected because it involves the ability to handle and manipulate data (sensor inputs) to understand the environment.","6.4210 Robotic Manipulation
",1,Fall 2023,Perception,"6.4210 Robotic Manipulation
", ,0,"()
(Subject meets with 6.4212)
Prereq: (6.100A and 6.3900) or permission of instructor
Units: 4-2-9
http://manipulation.mit.edu
Lecture: TR2.30-4 (E25-111) Lab: F1 (4-159) or F2 (4-159) or F1 (4-153)

Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based). Students taking graduate version complete additional assignments. Students engage in extensive written and oral communication exercises.
R. TedrakeNo textbook information available"
Planning,"Students will gain proficiency in robot kinematics, trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty. This skill is selected because it involves the ability to manipulate data (environment and robot state) to generate plans for robot manipulation tasks.","6.4210 Robotic Manipulation
",1,Fall 2023,Planning,"6.4210 Robotic Manipulation
", ,0,"()
(Subject meets with 6.4212)
Prereq: (6.100A and 6.3900) or permission of instructor
Units: 4-2-9
http://manipulation.mit.edu
Lecture: TR2.30-4 (E25-111) Lab: F1 (4-159) or F2 (4-159) or F1 (4-153)

Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based). Students taking graduate version complete additional assignments. Students engage in extensive written and oral communication exercises.
R. TedrakeNo textbook information available"
Perception,"Students will learn about different approaches to perception in robotics, including deep learning and 3D geometry-based methods.","6.4212 Robotic Manipulation
",1,Fall 2023,Perception,"6.4212 Robotic Manipulation
", ,0,"()
(Subject meets with 6.4210)
Prereq: (6.100A and 6.3900) or permission of instructor
Units: 3-0-9
http://manipulation.mit.edu
Lecture: TR2.30-4 (E25-111)

Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based. Students taking graduate version complete additional assignments.
R. L. TedrakeNo textbook information available"
Planning,"Students will gain proficiency in robot kinematics, trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty.","6.4212 Robotic Manipulation
",1,Fall 2023,Planning,"6.4212 Robotic Manipulation
", ,0,"()
(Subject meets with 6.4210)
Prereq: (6.100A and 6.3900) or permission of instructor
Units: 3-0-9
http://manipulation.mit.edu
Lecture: TR2.30-4 (E25-111)

Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based. Students taking graduate version complete additional assignments.
R. L. TedrakeNo textbook information available"
Dynamics and control,Students will develop skills in both model-based and learning-based approaches to dynamics and control in robotics.,"6.4212 Robotic Manipulation
",1,Fall 2023,Dynamics and control,"6.4212 Robotic Manipulation
", ,0,"()
(Subject meets with 6.4210)
Prereq: (6.100A and 6.3900) or permission of instructor
Units: 3-0-9
http://manipulation.mit.edu
Lecture: TR2.30-4 (E25-111)

Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based. Students taking graduate version complete additional assignments.
R. L. TedrakeNo textbook information available"
Algorithm design,"Students will learn how to design algorithms for various applications in robotics, logistics, recommendation systems, playing games, and control domains.","6.8200 Sensorimotor Learning
",1,Fall 2023,Algorithm Design and Analysis,"6.8200 Sensorimotor Learning
", ,0,"()
Prereq: 6.3900 or 6.7900
Units: 3-0-9

Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.
Staff"
Programming,Students will develop proficiency in programming languages to implement and execute algorithms.,"6.8200 Sensorimotor Learning
",1,Fall 2023,Programming and Coding,"6.8200 Sensorimotor Learning
", ,0,"()
Prereq: 6.3900 or 6.7900
Units: 3-0-9

Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.
Staff"
Data analysis,Students will gain the ability to analyze and interpret data to make informed decisions in the context of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1,Fall 2023,Data Analysis and Research,"6.8200 Sensorimotor Learning
", ,0,"()
Prereq: 6.3900 or 6.7900
Units: 3-0-9

Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.
Staff"
Problem-solving,Students will enhance their problem-solving skills through practical exercises and a group project.,"6.8200 Sensorimotor Learning
",1,Fall 2023,Problem-solving,"6.8200 Sensorimotor Learning
", ,0,"()
Prereq: 6.3900 or 6.7900
Units: 3-0-9

Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.
Staff"
Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1,Fall 2023,Research Skills and Analysis,"6.8200 Sensorimotor Learning
", ,0,"()
Prereq: 6.3900 or 6.7900
Units: 3-0-9

Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.
Staff"
Computational methods,Students will learn and apply computational methods to analyze and control underactuated mechanical systems.,"6.8210 Underactuated Robotics
",1,Fall 2023,Computational Techniques and Methods,"6.8210 Underactuated Robotics
", ,0,"()
Prereq: 18.03 and 18.06
Units: 3-0-9

Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
R. Tedrake

Graphics"
Nonlinear dynamics,Students will gain an understanding of the nonlinear dynamics of robotic manipulators and how they affect the control of underactuated systems.,"6.8210 Underactuated Robotics
",1,Fall 2023,Nonlinear dynamics,"6.8210 Underactuated Robotics
", ,0,"()
Prereq: 18.03 and 18.06
Units: 3-0-9

Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
R. Tedrake

Graphics"
Optimal control,Students will learn about applied optimal control techniques and how to apply them to underactuated robotics.,"6.8210 Underactuated Robotics
",1,Fall 2023,Optimal control,"6.8210 Underactuated Robotics
", ,0,"()
Prereq: 18.03 and 18.06
Units: 3-0-9

Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
R. Tedrake

Graphics"
Robust control,Students will learn about robust control methods and how to design controllers that can handle uncertainties and disturbances in underactuated systems.,"6.8210 Underactuated Robotics
",1,Fall 2023,,"6.8210 Underactuated Robotics
", ,0,"()
Prereq: 18.03 and 18.06
Units: 3-0-9

Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
R. Tedrake

Graphics"
Motion planning,"Students will develop skills in motion planning for underactuated mechanical systems, including legged locomotion, compliant manipulation, underwater robots, and flying machines.","6.8210 Underactuated Robotics
",1,Fall 2023,Motion planning,"6.8210 Underactuated Robotics
", ,0,"()
Prereq: 18.03 and 18.06
Units: 3-0-9

Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.
R. Tedrake

Graphics"
Ray tracing,"Students will learn and develop proficiency in the technique of ray tracing, which is a fundamental algorithm used in computer graphics to generate realistic images.","6.4400 Computer Graphics
",1,Fall 2023,Ray tracing,"6.4400 Computer Graphics
", ,0,"()
Prereq: 6.1010 and (18.06 or 18.C06)
Units: 3-0-9
Lecture: TR2.30-4 (4-370)

Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation and color.
M. Konakovic LukovicNo textbook information available"
Graphics pipeline,"Students will gain knowledge and practical experience in understanding and manipulating the graphics pipeline, which is the sequence of stages involved in rendering graphics on a computer screen.","6.4400 Computer Graphics
",1,Fall 2023,Graphics pipeline,"6.4400 Computer Graphics
", ,0,"()
Prereq: 6.1010 and (18.06 or 18.C06)
Units: 3-0-9
Lecture: TR2.30-4 (4-370)

Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation and color.
M. Konakovic LukovicNo textbook information available"
Texture mapping,"Students will learn how to apply textures to 3D models, allowing for more realistic and detailed rendering of surfaces.","6.4400 Computer Graphics
",1,Fall 2023,Texture mapping,"6.4400 Computer Graphics
", ,0,"()
Prereq: 6.1010 and (18.06 or 18.C06)
Units: 3-0-9
Lecture: TR2.30-4 (4-370)

Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation and color.
M. Konakovic LukovicNo textbook information available"
