Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
TECH INTERVIEW PREP C++,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""TECH INTERVIEW PREP C++"" is offered by Columbia University's Department of Computer Science. The course is taught by Yongwhan Lim, and it is designed to prepare students for entry-level technical interviews at top-tier companies
1
. The course is based on C++ programming language, and it covers topics such as data structures, algorithms, and problem-solving strategies
2
. The course also covers some system design and behavioral interview questions, but those are not the main focus of the course
1
.
The course has homework assignments and a final project, and there are no exams
1
. The course is intended to help students master the fundamental knowledge required to succeed in entry-level technical interviews at top-tier companies
2
. Upon successful completion of the course, students will be able to compete with confidence in ICPC contest series, pass with confidence in any entry-level technical interview at top-tier companies, and attain high ratings in any competitive programming websites
1
.
The course also covers topics related to machine learning, such as convolutional neural nets, recurrent neural nets, transformers, vision transformers, and their application to computer vision. Students will learn about the datasets needed to feed these data-hungry approaches, how to create them, and how to leverage them to address a wider range of applications. Students will also learn about techniques for building efficient ML systems. The course is based on PyTorch, CUDA programming, and MPI
1
.
The prerequisites for the course are knowledge of C++ programming language, data structures, and algorithms
1
. The course is offered in Fall 2023, and there are 47 enrolled students
5
.",,
COMPETITIVE PROGRAMMING,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Competitive Programming"" is offered by the Department of Computer Science at Columbia University. The course is listed as COMS 4995.008 and is taught by Yongwhan Lim
1
2
. The course is designed to teach students the fundamental knowledge required to succeed in competitive programming contests. The course is aimed at students who want to compete with confidence in the ICPC contest series, pass entry-level technical interviews at top-tier companies, and attain high ratings in competitive programming websites such as CodeForces, AtCoder, and LeetCode
1
2
.
The course covers topics and strategies required to succeed in competitive programming contests. The course is divided into three parts:
Weeks 1-3: Firebase project (individual)
Weeks 4-7: Competitive programming (individual)
Weeks 8-14: Team project (3-4 people)
The course will cover topics such as data structures, algorithms, dynamic programming, graph theory, and number theory. Students will also learn about techniques for building efficient ML systems. The course is based on PyTorch, CUDA programming, and MPI
1
2
.
Upon successful completion of the course, students will have mastered the fundamental knowledge required to succeed in competitive programming contests. They will be able to compete with confidence in the ICPC contest series, pass entry-level technical interviews at top-tier companies, and attain high ratings in competitive programming websites. Students will also gain skills in data structures, algorithms, dynamic programming, graph theory, and number theory. They will also learn about techniques for building efficient ML systems
1
2
.",,
EMPIRICAL METHODS DATA SC,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","COMS 6998: Empirical Methods of Data Science is a seminar offered by Columbia University for students seeking an in-depth understanding of how to conduct empirical research in computer science
1
3
. The course is taught by Professor Michelle Levine and is designed to teach students how to critically examine previous research, build and test hypotheses, and collect data in the most ethical and robust manner
1
. The course is divided into three parts:
Data Collection: In this part of the seminar, students will explore different means of data collection and dive into ethical concerns in research
1
. Topics covered include conducting a literature review, scientific method and big data, designing a study, and data collection methods
1
.
Data Analysis: In this part of the seminar, students will learn how to most effectively analyze different data sets and how to present the data in engaging and exciting ways
1
. Topics covered include data analysis tools (NLP demo) and data analysis techniques
1
.
Research Methods: In the last part of the seminar, students will hear from different researchers on the methods they use to conduct research, lending to further conversations about when and how to use particular research methods
1
. The focus will be primarily on relatively small data sets, but big data will also be addressed
1
.
The course is designed as an introduction to the elements that constitute the skill set of a data scientist, with a focus on the utility of these elements in common tasks of a data scientist, rather than their theoretical formulation and properties
3
. The course will cover topics such as conducting a literature review, designing a study, data collection methods, data analysis tools, and data analysis techniques
1
. Students will also learn how to critically examine previous research, build and test hypotheses, and collect data in the most ethical and robust manner
1
. The course will include assignments such as a project proposal and progress reports, as well as a final project
1
. By the end of the course, students will have gained skills in empirical research, data collection, data analysis, and research methods
1
.",,
MOBILE APP DEVELOP IOS,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The Mobile App Develop iOS course at Columbia University is a topics course offered by the Department of Computer Science
1
. The course is designed to teach students how to develop mobile applications based on Apple's iOS operating system and Swift programming language
1
3
. Students will need to work on Apple Mac computers running Xcode, and will learn how to develop applications for iPhones, iPads, and iWatch devices
1
. The course covers fundamentals essential to understanding all aspects of app development from concept to deployment on the App Store
1
. The course is taught in a team environment, and students are required to present their project proposals and deliver a fully functional mobile application as a final project
1
.
The course covers a range of topics, including:
Introduction to Mobile Application Development & XCode IDE
Introduction to Swift & Storyboard (Constraints) – my first app
The App Lifecycle (App Delegate) & more Swift syntax; Intro to Source Code Control (Git)
UI/UX (Accessibility/i18n/l10n) [Final Project Description]
Networking and Authentication for Enterprise Apps (REST/OAUTH/GRAPHQL)
The course is heavily project-based and taught in a team environment
5
. Students will create mobile applications based on the latest programming patterns and frameworks in use in the mobile industry today
1
. By the end of the course, students will have gained skills in mobile app development, Swift programming, Xcode IDE, UI/UX design, and networking and authentication for enterprise apps
1
.",,
HACKING 4 DEFENSE,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","Hacking for Defense is an academic course offered at Columbia University that teaches students to work with the United States Department of Defense (DoD) and other government agencies to solve real-world problems
1
2
3
. The course is designed to provide students with an experiential opportunity to become more effective in their chosen field, with a body of work to back it up
2
.
The course is structured around a series of problem sets that are provided by the DoD and other government agencies. Students work in teams to develop solutions to these problems, with guidance from industry experts and mentors
1
2
3
. The course is project-based, and students are expected to work on a real-world problem throughout the semester
5
.
The syllabus for the course varies depending on the semester, but typically includes topics such as problem discovery, customer discovery, rapid prototyping, and pitching
1
2
3
. Students learn skills such as problem-solving, critical thinking, and entrepreneurship, as well as technical skills such as data analysis, software development, and systems engineering
1
2
3
.
At the end of the course, students present their solutions to a panel of experts from the DoD and other government agencies. Successful projects may be further developed and implemented by the sponsoring agency
1
2
3
.
Overall, Hacking for Defense is a unique course that provides students with an opportunity to work on real-world problems and develop solutions that have the potential to make a real impact. The course is designed to teach students a range of skills and knowledge that are valuable in a variety of fields, including entrepreneurship, engineering, and government service
1
2
3
.",,
DATA-DRVN DSGN SOCIAL INN,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Data-Driven Design for Social Innovation"" is a cross-disciplinary project-based course where teams of students from various departments work together on creating products or services to address important social issues
1
. The course is offered by the Computer Science department at Columbia University and is listed as ""Data-drvn Dsgn Social Inn""
2
. The course requires the instructor's permission as a prerequisite and has corequisites of COMS W1002 or COMS W1004 or COMS W1007
3
.
The course aims to teach students how to use data-driven design to create innovative solutions to social problems. Students will learn how to identify social problems, collect and analyze data, and design and implement solutions using data-driven methods
1
. The course will cover topics such as data visualization, data analysis, and user-centered design
1
.
The course is project-based, and students will work in teams to develop solutions to real-world social problems. The course will culminate in a final project where students will present their solutions to a panel of experts
1
.
The syllabus for the course is not available in the search results, but based on the course description, students can expect to learn the following skills, knowledge, and abilities:
Identifying social problems
Collecting and analyzing data
Designing and implementing solutions using data-driven methods
Data visualization
User-centered design
Working in cross-disciplinary teams
Presenting solutions to a panel of experts
Overall, the course ""Data-Driven Design for Social Innovation"" is a project-based course that teaches students how to use data-driven methods to create innovative solutions to social problems. Students will work in teams to develop solutions and present their final projects to a panel of experts. The course is designed to teach students a range of skills, including data analysis, data visualization, and user-centered design.",,
NEURAL NETWORKS DEEP LEARNING,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Neural Networks and Deep Learning"" is offered at Columbia University and is taught by Richard Zemel. The course provides an overview of both foundational ideas and recent advances in neural net algorithms
1
2
3
. The course is designed to cover the theoretical underpinnings and practical aspects of neural networks and deep learning, with a focus on convolutional and recurrent neural networks
4
. The course is intended for students who have a background in multivariable calculus, linear algebra, and probability theory
2
.
The course is divided into lectures and tutorials, with the first two-thirds of the course focusing on foundational ideas and the remaining third focusing on recent advances in neural net algorithms
1
2
. The course covers topics such as multilayer perceptrons, backpropagation, distributed representations, optimization, convolutional neural networks, image classification, interpretability, recurrent neural networks, attention, transformers, and autoregressive models
2
.
The course includes homework assignments and a final project, but there are no exams
5
. The course materials include lecture notes, readings, and videos, which are available on the course website
2
. Students will learn how to train neural networks, how to apply neural networks to computer vision and natural language processing, and how to build efficient machine learning systems
5
.
In summary, the course ""Neural Networks and Deep Learning"" at Columbia University covers both foundational ideas and recent advances in neural net algorithms, with a focus on convolutional and recurrent neural networks. The course is intended for students with a background in multivariable calculus, linear algebra, and probability theory. The course includes homework assignments and a final project, and students will learn how to train neural networks, apply neural networks to computer vision and natural language processing, and build efficient machine learning systems.",,
DEEP LRNG FOR COMP VISION,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Deep Learning for Computer Vision"" is a graduate-level research class offered by Columbia University
1
2
3
. The course focuses on deep learning techniques for vision, speech, and natural language processing problems. The course covers both foundational ideas and recent advances in neural net algorithms
6
. The course is based on PyTorch, CUDA programming, and MPI
5
. The course covers the following topics:
Convolutional neural nets
Recurrent neural nets
Transformers
Vision transformers
Datasets needed to feed these data-hungry approaches
The course will have homework assignments and a final project, and there will be no exams
5
. The final project will involve original research, and evaluation will be based mainly on the project
5
. The course requires intermediate programming skills in C/C++ and Python, as well as knowledge of machine learning concepts and deep learning algorithms
5
. The course will cover topics such as ML/DL and PyTorch basics, PyTorch performance, performance optimization in PyTorch, parallel performance modeling, and an introduction to CUDA
5
. By the end of the course, students will have gained knowledge and skills in the following areas:
Deep learning techniques for vision, speech, and natural language processing problems
Convolutional neural nets, recurrent neural nets, transformers, and vision transformers
Datasets needed to feed these data-hungry approaches
PyTorch, CUDA programming, and MPI
Performance optimization in PyTorch and parallel performance modeling
Overall, the course provides a comprehensive overview of deep learning techniques for computer vision and is designed to equip students with the knowledge and skills needed to conduct original research in this area.",,
INNOVATION & DESIGN LAB,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The Innovation & Design Lab is a course offered by Columbia University's Department of Computer Science, open to both undergraduate and graduate students
1
2
. The course aims to inculcate the innovative mindset needed to envision inventive applications, deliver meaningful experiences to end-users, and generate valuable products and services
1
. The course is divided into two parts: the first half of the course is devoted to lectures and discussions on design principles, theory, and software techniques for visualizing data
2
. The second half of the course is devoted to 3-person projects involving design, implementation, documentation, and presentation of projects of the students' choice (after approval from the professor)
1
. Students are expected to attend other students' presentations
1
. There will be no final exam, but each student will write a paper (minimum 2,000 words) on a topic of their choice related to language design
1
.
The course is project-based, and students will learn by doing
1
. They will learn design principles, theory, and software techniques for visualizing data
2
. They will also learn how to implement, document, and present their projects
1
. Through the projects, students will learn how to envision inventive applications, deliver meaningful experiences to end-users, and generate valuable products and services
1
. They will also learn how to work in teams and present their work to others
1
.
In summary, the Innovation & Design Lab is a project-based course that teaches students design principles, theory, and software techniques for visualizing data. Students will learn how to implement, document, and present their projects, work in teams, and present their work to others. The course aims to inculcate the innovative mindset needed to envision inventive applications, deliver meaningful experiences to end-users, and generate valuable products and services.",,
Adv Mach Lrng Health &Med,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Adv Mach Lrng Health & Med"" is offered by Columbia University's Department of Computer Science. The course is listed as COMS W 4995-014 and is scheduled for Fall 2023
2
. The course is an advanced-level course in which students study topics in machine learning with applications in biomedical research
1
. The course is taught by Shalmali Joshi and is scheduled to meet on Fridays from 2:00 PM to 4:00 PM in room 253 ENG
2
.
The course syllabus is not available in the search results, but we can infer some of the topics that will be covered based on the course title and description. Students will likely learn about advanced machine learning techniques and how they can be applied to problems in the health and medical fields. Some of the topics that may be covered include:
Classification models (e.g., support vector machines)
Tree-based methods (decision/regression trees)
Clustering algorithms
Principal component analysis (PCA)
Deep learning, including an introduction to dense and convolutional neural networks
1
The course is designed for investigators from any institution and from all career stages, and trainees and early-stage investigators are particularly encouraged to participate
1
. The course is intended for individuals who have a background in machine learning and are interested in applying these techniques to biomedical research problems.
It is unclear from the search results whether the course will include any projects or assignments. However, given the advanced nature of the course, it is likely that students will be expected to complete a significant project or research paper that demonstrates their understanding of the course material.
Overall, students who take this course will gain advanced knowledge and skills in machine learning techniques and their applications to biomedical research problems. They will also gain experience working with real-world data and applying machine learning techniques to solve complex problems in the health and medical fields.",,
APPLIED MACHINE LEARNING,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The Applied Machine Learning course is offered by Columbia Engineering Executive Education and is designed for professionals who want to master the models of machine learning while acquiring the Python programming knowledge to real-world data
1
. The course is a 5-month online learning experience that focuses on both supervised and unsupervised machine learning approaches, with Python being the core programming language for the course
2
. The course is ideal for those who are serious about mastering machine learning and are willing to commit to a challenging curriculum
2
.
The course is a blend of theory, tools, and case studies (datasets) that are easy to assimilate and implement
1
. The course familiarizes students with machine learning algorithms and applications and provides a solid foundation in statistics/mathematics and problem-solving skills to help them solve enterprise-level problems
1
. The course is designed to augment students' existing knowledge of various tools and expand their skill set as a Data Science or Machine Learning professional
1
. The course familiarizes students with machine learning algorithms and applications while providing a solid foundation in statistics/mathematics and enhancing their business acumen
1
. It augments students' existing programming knowledge and expands the technologies they are familiar with, helping them further develop their skill set as a Data Science or Machine Learning professional
1
.
One of the standout features of the Applied Machine Learning course is the diverse range of application projects included in the curriculum
2
. These projects are designed to give students hands-on experience with real-world challenges, allowing them to apply the theoretical knowledge they’ve learned in a practical setting
2
. With 12 application projects woven into the curriculum, students get the opportunity to apply what they’ve learned and tackle real-world challenges
2
. This experiential learning approach helps students internalize the concepts, develop problem-solving skills, and become competent machine learning practitioners
2
. The application projects are intentionally made to be challenging, and students are expected to spend substantial time and effort solving them
1
.
The course is a programming course, and students will be required to write code, but no prior programming knowledge is required
1
. While the course covers Python basics, a preliminary understanding of Python, statistics, calculus, linear algebra, and probability is beneficial
2
. The course discusses the application of machine learning methods like SVMs, decision trees, and neural networks to real-world problems
3
4
. By the end of the course, students will have learned the following skills, knowledge, and abilities:
Master the models of machine learning
Acquire Python programming knowledge to real-world data
Familiarize with machine learning algorithms and applications
Develop a solid foundation in statistics/mathematics
Enhance problem-solving skills to help solve enterprise-level problems
Augment existing knowledge of various tools and expand skill set as a Data Science or Machine Learning professional
Internalize the concepts, develop problem-solving skills, and become competent machine learning practitioners
Apply machine learning methods like SVMs, decision trees, and neural networks to real-world problems
3
4",,
ELEMENTS FOR DATA SCIENCE,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The course ""Elements for Data Science"" is offered by the Department of Computer Science at Columbia University
4
. The course is designed as an introduction to the skill set of a data scientist, focusing on the utility of these elements in common tasks of a data scientist, rather than their theoretical formulation and properties
4
. The course provides a foundation of basic theory and methodology with applied examples to analyze large engineering, business, and social data for data science problems
4
6
. The course is intended to provide students with the skills and knowledge necessary to address data science problems in industry, government, and the non-profit sector
1
.
The course is a topics course, which means that it is not part of the regular curriculum and is offered on an irregular basis
4
. The course is open to both undergraduate and graduate students, and there are no prerequisites listed
4
. The course is worth 3 credits
4
.
The course will cover the following topics
4
:
Techniques for building predictive models
Techniques for feature selection and dimensionality reduction
Techniques for data cleaning and preprocessing
Techniques for data visualization
Techniques for working with large datasets
Techniques for working with unstructured data
The course will emphasize hands-on experiments with R or Python
4
. Students will learn how to analyze large engineering, business, and social data for data science problems
4
6
. The course will provide a foundation of methodology with applied examples
6
.
The course activities focus on a semester-length data science project sponsored by a faculty member or local organization
1
. Students will have the opportunity to conduct original research and interact with industry partners and faculty
1
.
In addition to the course, students in the M.S. in Data Science program are required to complete a minimum of nine credits of electives
1
. Students are encouraged to explore courses offered across the university and take advantage of the expertise in a wide range of disciplines at Columbia
1
.",,
APPLIED DEEP LEARNING,3,"Shalmali Joshi, Vijay Pappu, Gary Zamchick, Yongwhan Lim, Homayoon S Beigi, Michelle F Levine, Jason Cahill, Peter Belhumeur, Stephen A Edwards, Bjarne Stroustrup, Hugh Thomas, Nakul Verma, Andrei A Simion, Richard Zemel, Andi Cupallari","Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.","The Applied Deep Learning course is offered by Columbia University and provides a practical introduction to deep learning
1
. The course aims to help students understand the fundamentals of neural networks, including deep neural networks (DNNs), convolutional neural networks (CNNs), and recurrent neural networks (RNNs)
1
3
. The course is designed to be hands-on and practical, with a focus on real-world applications of deep learning
1
.
The course covers the following topics
1
3
:
Introduction to deep learning
Fundamentals of neural networks
Convolutional neural networks (CNNs)
Recurrent neural networks (RNNs)
Generative models
Reinforcement learning
Applications of deep learning
The course includes several projects that require students to apply the deep learning concepts they have learned to datasets and derive inferences
2
3
. These projects are intentionally challenging, and students are expected to spend substantial time and effort solving them
2
. The course also includes homework assignments and a final project, but there are no exams
3
.
By the end of the course, students will have gained a solid understanding of deep learning and will be able to apply it to solve many of the business problems they face in their workplace
2
. Students will also have developed problem-solving skills and a foundation in statistics/mathematics
2
. The course is based on PyTorch, CUDA programming, and MPI, and prerequisites include intermediate programming skills in C/C++ and Python, as well as knowledge of computer architecture and operating systems
3
.",,
FORMAL VERIF HW SW SYSTEM,3,Franjo Ivancic,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (COMS W3261) Introduction to the theory and practice of formal methods for the design and analysis of correct (i.e. bug-free) concurrent and embedded hardware/software systems. Topics include temporal logics; model checking; deadlock and liveness issues; fairness; satisfiability (SAT) checkers; binary decision diagrams (BDDs); abstraction techniques; introduction to commercial formal verification tools. Industrial state-of-art, case studies and experiences: software analysis (C/C++/Java), hardware verification (RTL).","The course ""Formal Verification of System Software"" is offered at Columbia University and is taught by Ronghui Gu. The course is a graduate seminar on research in the verification of system software. The goal of the class is to get the students to build provably correct software. The course covers topics such as software engineering methodology, dynamic analysis, and software testing
2
. The course is focused on formal verification of hardware and software systems
3
. The course is relevant to students interested in any of the following topics: software analysis (C/C++/Java), hardware verification (RTL), and commercial formal verification tools
4
.
The course structure consists of students presenting research papers during lecture, and students working on a significant research project. Students are expected to start working on the project in the first week or two and continue for the entire semester, culminating in a draft research paper
2
. The course materials are borrowed from the Software Foundations textbook. If students are not familiar with Coq already, they should start by working on the following chapters ASAP. Students should make sure they actually do all of the exercises
2
.
The course covers the following topics
2
:
Intro
Program Logic I (for sequential program)
Certified File System
Push-button Verification
Verification of Information-flow Security
Certified OS Kernel I: Sequential CertiKOS
Verification of Security Monitor
Verification of Smart Contracts
Program Logic II (for concurrent program)
Linearizability
Certified Concurrent File System
Certified OS Kernel II: Concurrent CertiKOS
Verification of Quantum Programs
The course is relevant to PhD students, MS students, and advanced undergraduates
4
. By the end of the course, students will have gained knowledge and skills in formal verification of hardware and software systems, software engineering methodology, dynamic analysis, and software testing. They will also have developed the ability to build provably correct software and work on a significant research project
2
.",,
FUNDAMENTALS OF COMPUTER,3,Martha A Kim,"Prerequisites: an introductory programming course. Fundamentals of computer organization and digital logic. Boolean algebra, Karnaugh maps, basic gates and components, flipflops and latches, counters and state machines, basics of combinational and sequential digital design. Assembly language, instruction sets, ALU’s, single-cycle and multi-cycle processor design, introduction to pipelined processors, caches, and virtual memory.","CSEE 3827: Fundamentals of Computer Systems is a course offered by Columbia University that examines how the digital 1s and 0s that form the foundation of digital computing are organized, structured, and manipulated
1
2
3
4
. The course is designed to provide students with an understanding of the fundamental concepts of computer systems, including computer organization, operating systems, and networks. The course covers topics such as:
Computer Organization: This includes topics such as digital logic, computer architecture, and assembly language programming.
Operating Systems: This includes topics such as process management, memory management, and file systems.
Networks: This includes topics such as network protocols, socket programming, and distributed systems.
The course also includes several projects that allow students to apply the concepts they have learned. For example, students may be asked to design and implement a simple operating system or network protocol. Through these projects, students will develop skills in programming, problem-solving, and critical thinking.
By the end of the course, students will have gained knowledge and skills in the following areas:
Understanding the fundamental concepts of computer systems, including computer organization, operating systems, and networks.
Developing programming skills in languages such as C and assembly language.
Designing and implementing simple operating systems and network protocols.
Developing problem-solving and critical thinking skills.
Overall, the course is designed to provide students with a solid foundation in computer systems that will prepare them for further study in computer science or a career in the field.",,
COMPUTER ARCHITECTURE,3,Simha Sethumadhavan,"Prerequisites: (CSEE W3827) or equivalent. Focuses on advanced topics in computer architecture, illustrated by case studies from classic and modern processors. Fundamentals of quantitative analysis. Pipelining. Memory hierarchy design. Instruction-level and thread-level parallelism. Data-level parallelism and graphics processing units. Multiprocessors. Cache coherence. Interconnection networks. Multi-core processors and systems-on-chip. Platform architectures for embedded, mobile, and cloud computing.","The course ""Computer Architecture"" is offered by the Department of Computer Science at Columbia University. The course code is CSEE W4824-1, and it is offered in the Fall 2018 semester
1
. The course is an introduction to modern computer architecture, with a focus on advanced topics illustrated by recent case studies. The course covers the fundamentals of computer architecture, including instruction set design, pipelining, memory hierarchy, and I/O systems. The course also covers advanced topics such as multicore processors, virtualization, and energy-efficient computing
1
.
The course is designed for students who have taken an introductory course in computer organization and have a basic understanding of digital logic and computer arithmetic. The course is intended for students who are interested in computer architecture and want to learn more about the design and implementation of modern computer systems
1
.
The course consists of lectures, assignments, and a final project. The assignments are designed to reinforce the concepts covered in the lectures and to give students hands-on experience with computer architecture. The final project is a group project that involves designing and implementing a computer system using the concepts covered in the course
1
.
By taking this course, students will learn the following skills, knowledge, and abilities:
Understanding of the fundamentals of computer architecture, including instruction set design, pipelining, memory hierarchy, and I/O systems.
Understanding of advanced topics in computer architecture, such as multicore processors, virtualization, and energy-efficient computing.
Ability to design and implement a computer system using the concepts covered in the course.
Ability to analyze the performance of a computer system and identify areas for improvement.
Knowledge of recent case studies in computer architecture and their implications for future computer systems
1
.
Overall, the course ""Computer Architecture"" at Columbia University provides students with a comprehensive understanding of modern computer architecture and the skills needed to design and implement computer systems.",,
SYSTEM-ON-CHIP PLATFORMS,3,Luca Carloni,"Prerequisites: (COMS W3157) and (CSEE W3827) Design and programming of System-on-Chip (SoC) platforms. Topics include: overview of technology and economic trends, methodologies and supporting CAD tools for system-level design, models of computation, the SystemC language, transaction-level modeling, software simulation and virtual platforms, hardware-software partitioning, high-level synthesis, system programming and device drivers, on-chip communication, memory organization, power management and optimization, integration of programmable processor cores and specialized accelerators. Case studies of modern SoC platforms for various classes of applications.","The course ""System-on-Chip Platforms"" is offered by the Department of Computer Science at Columbia University
1
2
3
4
5
6
. The course is numbered CSEE W4868 and is taught by Professor Luca Carloni
1
6
. The course is designed for graduate students and advanced undergraduates with a background in computer science, engineering, or a related discipline
4
. The course covers the following topics:
Overview of technology and economic trends in system-on-chip (SoC) platforms
Methodologies and supporting CAD tools for system-level design of SoC platforms
Design of SoC platforms for multimedia, wireless, and networking applications
Design of SoC platforms for embedded systems and real-time applications
Design of SoC platforms for security and reliability
The course includes a significant project component, where students will design and implement a SoC platform using industry-standard CAD tools
1
6
. Through this project, students will gain hands-on experience in designing and implementing SoC platforms, as well as experience working with industry-standard CAD tools
1
. By the end of the course, students will have gained knowledge and skills in the following areas:
Understanding of the technology and economic trends in SoC platforms
Ability to design and implement SoC platforms using industry-standard CAD tools
Knowledge of methodologies for system-level design of SoC platforms
Understanding of the design considerations for SoC platforms in various application domains, including multimedia, wireless, networking, embedded systems, and real-time systems
Understanding of the design considerations for SoC platforms in security and reliability
Overall, the course ""System-on-Chip Platforms"" provides students with a comprehensive understanding of the design and implementation of SoC platforms, as well as the methodologies and tools used in this field. The course is designed to prepare students for careers in the semiconductor industry, as well as for further study in related fields.",,
