Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
Analysis,"Students will develop the skill of analysis as they examine the social, ethical, and legal issues surrounding computers and society, including topics such as social media and privacy, employment, intellectual property, and the media.",COMPUTERS AND SOCIETY,3.0,,Analysis,Quantitative analysis,"Students will develop the ability to perform quantitative analysis of experimental data, including the use of flow cytometry.","6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Analysis,"Students will develop the skill of analysis as they examine the social, ethical, and legal issues surrounding computers and society, including topics such as social media and privacy, employment, intellectual property, and the media.",COMPUTERS AND SOCIETY,3.0,,Analysis,Tracking,Students will learn how to track the movement of objects in videos or sequences of images.,"6.8300 Advances in Computer Vision
",1.0,Fall 2023
Analysis,"Students will develop the skill of analysis as they examine the social, ethical, and legal issues surrounding computers and society, including topics such as social media and privacy, employment, intellectual property, and the media.",COMPUTERS AND SOCIETY,3.0,,Analysis,Tracking,Students will develop the skill of tracking objects and their movements in videos or sequences of images.,"6.8301 Advances in Computer Vision
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Parsing,"Students will learn fundamental approaches for parsing, which involves analyzing the structure of a program.","6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Program analysis,"Students will learn and apply major principles and techniques for program analysis, including formal semantics, type systems, type-based program analysis, abstract interpretation, and model checking and synthesis.","6.5110 Foundations of Program Analysis
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Case study analysis,Students will develop the skill of analyzing case studies of working systems and readings from the current literature. This skill allows them to compare and contrast different systems and understand their implications.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Sequence analysis,"Students will gain proficiency in analyzing biological sequences, such as DNA and RNA, using computational methods.","6.8701 Computational Biology: Genomes, Networks, Evolution
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Quantitative analysis,"Students will develop the ability to perform quantitative analysis of experimental data, including the use of flow cytometry.","6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Tracking,Students will learn how to track the movement of objects in videos or sequences of images.,"6.8300 Advances in Computer Vision
",1.0,Fall 2023
Lexical analysis,"Students will develop the skill of performing lexical analysis, which involves breaking down source code into tokens.",PROGRAMMING LANG-TRANSLATORS,3.0,,Analysis,Tracking,Students will develop the skill of tracking objects and their movements in videos or sequences of images.,"6.8301 Advances in Computer Vision
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Parsing,"Students will learn fundamental approaches for parsing, which involves analyzing the structure of a program.","6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Program analysis,"Students will learn and apply major principles and techniques for program analysis, including formal semantics, type systems, type-based program analysis, abstract interpretation, and model checking and synthesis.","6.5110 Foundations of Program Analysis
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Case study analysis,Students will develop the skill of analyzing case studies of working systems and readings from the current literature. This skill allows them to compare and contrast different systems and understand their implications.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Sequence analysis,"Students will gain proficiency in analyzing biological sequences, such as DNA and RNA, using computational methods.","6.8701 Computational Biology: Genomes, Networks, Evolution
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Quantitative analysis,"Students will develop the ability to perform quantitative analysis of experimental data, including the use of flow cytometry.","6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Tracking,Students will learn how to track the movement of objects in videos or sequences of images.,"6.8300 Advances in Computer Vision
",1.0,Fall 2023
Text analysis,Students will learn computational methods for analyzing and processing text data.,INTRO-COMPUTATIONAL COMPL,3.0,,Analysis,Tracking,Students will develop the skill of tracking objects and their movements in videos or sequences of images.,"6.8301 Advances in Computer Vision
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Parsing,"Students will learn fundamental approaches for parsing, which involves analyzing the structure of a program.","6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Program analysis,"Students will learn and apply major principles and techniques for program analysis, including formal semantics, type systems, type-based program analysis, abstract interpretation, and model checking and synthesis.","6.5110 Foundations of Program Analysis
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Case study analysis,Students will develop the skill of analyzing case studies of working systems and readings from the current literature. This skill allows them to compare and contrast different systems and understand their implications.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Sequence analysis,"Students will gain proficiency in analyzing biological sequences, such as DNA and RNA, using computational methods.","6.8701 Computational Biology: Genomes, Networks, Evolution
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Quantitative analysis,Students will develop the skill of quantitative analysis as they learn to characterize and model cellular networks in synthetic biology.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Quantitative analysis,"Students will develop the ability to perform quantitative analysis of experimental data, including the use of flow cytometry.","6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Tracking,Students will learn how to track the movement of objects in videos or sequences of images.,"6.8300 Advances in Computer Vision
",1.0,Fall 2023
Text analysis,"Students will gain proficiency in computational methods for text analysis, allowing them to manipulate and analyze large amounts of text data.",INTRO TO COMP FOR ENG/APP,3.0,,Analysis,Tracking,Students will develop the skill of tracking objects and their movements in videos or sequences of images.,"6.8301 Advances in Computer Vision
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research,Students will gain the skill of conducting research and reading technical papers to deepen their understanding of the subject matter.,ANONYMITY & PRIVACY,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Reading research papers,"Students will develop the skill of effectively reading and understanding research papers, which is essential for staying updated with the latest advancements in the field.",NATURAL LANG GEN SUMMARIZ,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research methodology,"Students will learn the skill of conducting original research in the field of network analysis and crowds, including designing experiments and collecting data.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research skills,Students will develop the ability to conduct research in the field of formal verification of system software.,FORMAL VERIFICATION SYSTEM SW,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research Skills,Students will acquire the ability to conduct research in the field of data privacy and stay updated with recent advancements.,FOUNDATIONS DATA PRIVACY,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research,Students will learn and practice research skills as they gather information and data to support their analysis of the broader impact of computers on society.,COMPUTERS AND SOCIETY,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research skills,Students will learn how to conduct thorough primary research to gather relevant information for investment analysis.,SECURITY I,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research skills,Students will learn how to discuss and analyze current research directions in the field of sensorimotor learning.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research,"Students will learn how to conduct research on various topics related to computer and communications technology, legal and ethical challenges, and information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research skills,Students will develop research skills as they explore cutting-edge applications in synthetic biology and engage in additional assignments in the graduate version of the course.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Literature review,Students will learn how to effectively review and analyze current literature in the field of synthetic biology.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research skills,Students will learn how to conduct research in the field of auditory signal processing.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Research design,"Students will learn how to design a study, including conducting a literature review, building and testing hypotheses, and collecting data.",EMPIRICAL METHODS DATA SC,3.0,,Research,Research analysis,Students will develop the skill of analyzing research papers and extracting key information.,"6.8320 Advanced Topics in Computer Vision
",1.0,Fall 2023
Project management,"Students will develop project management skills as they work on projects related to anonymity and privacy, applying their knowledge and skills learned in class.",ANONYMITY & PRIVACY,3.0,,Project management,Multi-person design project,"Students will gain experience in working on a multi-person design project, which will enhance their teamwork and collaboration skills.","6.5910 Complex Digital Systems Design
",1.0,Fall 2023
Project management,"Students will develop project management skills as they work on projects related to anonymity and privacy, applying their knowledge and skills learned in class.",ANONYMITY & PRIVACY,3.0,,Project management,Project management,"Students will develop skills in managing projects, including planning, organizing, and coordinating tasks and resources.","6.4860[J] Medical Device Design
",1.0,Fall 2023
Project management,"Students will develop project management skills as they work on projects related to anonymity and privacy, applying their knowledge and skills learned in class.",ANONYMITY & PRIVACY,3.0,,Project management,Project management,Students will gain skills in managing projects related to the design of medical devices.,"6.4861[J] Medical Device Design
",1.0,Fall 2023
Project management,"Students will develop the ability to manage and execute a project, as the course is project-based and requires the completion of a final technical paper summarizing their use case.",MACHINE LEARNING &CLIMATE,3.0,,Project management,Multi-person design project,"Students will gain experience in working on a multi-person design project, which will enhance their teamwork and collaboration skills.","6.5910 Complex Digital Systems Design
",1.0,Fall 2023
Project management,"Students will develop the ability to manage and execute a project, as the course is project-based and requires the completion of a final technical paper summarizing their use case.",MACHINE LEARNING &CLIMATE,3.0,,Project management,Project management,"Students will develop skills in managing projects, including planning, organizing, and coordinating tasks and resources.","6.4860[J] Medical Device Design
",1.0,Fall 2023
Project management,"Students will develop the ability to manage and execute a project, as the course is project-based and requires the completion of a final technical paper summarizing their use case.",MACHINE LEARNING &CLIMATE,3.0,,Project management,Project management,Students will gain skills in managing projects related to the design of medical devices.,"6.4861[J] Medical Device Design
",1.0,Fall 2023
Project management,"Students will learn how to work on a significant research project throughout the semester, culminating in a draft research paper.",FORMAL VERIFICATION SYSTEM SW,3.0,,Project management,Multi-person design project,"Students will gain experience in working on a multi-person design project, which will enhance their teamwork and collaboration skills.","6.5910 Complex Digital Systems Design
",1.0,Fall 2023
Project management,"Students will learn how to work on a significant research project throughout the semester, culminating in a draft research paper.",FORMAL VERIFICATION SYSTEM SW,3.0,,Project management,Project management,"Students will develop skills in managing projects, including planning, organizing, and coordinating tasks and resources.","6.4860[J] Medical Device Design
",1.0,Fall 2023
Project management,"Students will learn how to work on a significant research project throughout the semester, culminating in a draft research paper.",FORMAL VERIFICATION SYSTEM SW,3.0,,Project management,Project management,Students will gain skills in managing projects related to the design of medical devices.,"6.4861[J] Medical Device Design
",1.0,Fall 2023
Teamwork,Students will enhance their ability to work on programming assignments and projects in a team.,ESSENTIAL DATA STRUCTURES,4.0,,Project management,Multi-person design project,"Students will gain experience in working on a multi-person design project, which will enhance their teamwork and collaboration skills.","6.5910 Complex Digital Systems Design
",1.0,Fall 2023
Teamwork,Students will enhance their ability to work on programming assignments and projects in a team.,ESSENTIAL DATA STRUCTURES,4.0,,Project management,Project management,"Students will develop skills in managing projects, including planning, organizing, and coordinating tasks and resources.","6.4860[J] Medical Device Design
",1.0,Fall 2023
Teamwork,Students will enhance their ability to work on programming assignments and projects in a team.,ESSENTIAL DATA STRUCTURES,4.0,,Project management,Project management,Students will gain skills in managing projects related to the design of medical devices.,"6.4861[J] Medical Device Design
",1.0,Fall 2023
